Solution x:
x[139] = 10.9845
x[140] = 10.8539
x[141] = 10.7248
x[142] = 10.5972
x[143] = 10.4714
x[144] = 10.3473
x[145] = 10.2252
x[146] = 10.105
x[147] = 9.98695
x[148] = 9.87106
x[149] = 9.75749
x[150] = 9.64635
x[151] = 9.53777
x[152] = 9.4319
x[153] = 9.32885
x[154] = 9.22877
x[155] = 9.13174
x[156] = 9.03786
x[157] = 8.94721
x[158] = 8.85982
x[159] = 8.77571
x[160] = 8.69489
x[161] = 8.61733
x[162] = 8.54297
x[163] = 8.47177
x[164] = 8.40364
x[165] = 8.3385
x[166] = 8.27624
x[167] = 8.21677
x[168] = 8.15998
x[169] = 8.10575
x[170] = 8.05397
x[171] = 8.00454
x[172] = 7.95735
x[173] = 7.91231
x[174] = 7.86931
x[175] = 7.82828
x[176] = 7.78912
x[177] = 7.75177
x[178] = 7.71617
x[179] = 7.68225
x[180] = 7.64998
x[181] = 7.61931
x[182] = 7.5902
x[183] = 7.56265
x[184] = 7.53664
x[185] = 7.51215
x[186] = 7.48918
x[187] = 7.46775
x[188] = 7.44785
x[189] = 7.4295
x[190] = 7.4127
x[191] = 7.39747
x[192] = 7.38379
x[193] = 7.37163
x[194] = 7.36086
x[195] = 7.35116
x[196] = 7.34174
x[197] = 7.33085
x[198] = 7.31471
x[199] = 7.28646
x[200] = 13.6848
x[201] = 13.7367
x[202] = 13.7646
x[203] = 13.7809
x[204] = 13.7923
x[205] = 13.8014
x[206] = 13.8091
x[207] = 13.8149
x[208] = 13.8182
x[209] = 13.8182
x[210] = 13.8138
x[211] = 13.8041
x[212] = 13.7883
x[213] = 13.7655
x[214] = 13.7351
x[215] = 13.6967
x[216] = 13.65
x[217] = 13.5947
x[218] = 13.531
x[219] = 13.4589
x[220] = 13.3787
x[221] = 13.2908
x[222] = 13.1956
x[223] = 13.0937
x[224] = 12.9856
x[225] = 12.8719
x[226] = 12.7533
x[227] = 12.6305
x[228] = 12.5041
x[229] = 12.3747
x[230] = 12.2429
x[231] = 12.1093
x[232] = 11.9744
x[233] = 11.8387
x[234] = 11.7026
x[235] = 11.5666
x[236] = 11.431
x[237] = 11.2961
x[238] = 11.1621
x[239] = 11.0293
x[240] = 10.8978
x[241] = 10.7679
x[242] = 10.6395
x[243] = 10.5129
x[244] = 10.3881
x[245] = 10.2653
x[246] = 10.1444
x[247] = 10.0256
x[248] = 9.90897
x[249] = 9.79466
x[250] = 9.68278
x[251] = 9.57348
x[252] = 9.46689
x[253] = 9.36316
x[254] = 9.26243
x[255] = 9.16481
x[256] = 9.07039
x[257] = 8.97926
x[258] = 8.89145
x[259] = 8.80699
x[260] = 8.72586
x[261] = 8.64805
x[262] = 8.5735
x[263] = 8.50214
x[264] = 8.4339
x[265] = 8.36866
x[266] = 8.30635
x[267] = 8.24683
x[268] = 8.19001
x[269] = 8.13576
x[270] = 8.08398
x[271] = 8.03455
x[272] = 7.98736
x[273] = 7.9423
x[274] = 7.8993
x[275] = 7.85824
x[276] = 7.81906
x[277] = 7.78168
x[278] = 7.74604
x[279] = 7.71207
x[280] = 7.67973
x[281] = 7.64899
x[282] = 7.61981
x[283] = 7.59217
x[284] = 7.56606
x[285] = 7.54147
x[286] = 7.5184
x[287] = 7.49685
x[288] = 7.47684
x[289] = 7.45838
x[290] = 7.44148
x[291] = 7.42614
x[292] = 7.41237
x[293] = 7.40012
x[294] = 7.38926
x[295] = 7.37949
x[296] = 7.37001
x[297] = 7.35905
x[298] = 7.34282
x[299] = 7.31445
x[300] = 13.7429
x[301] = 13.7955
x[302] = 13.8245
x[303] = 13.8423
x[304] = 13.8556
x[305] = 13.8671
x[306] = 13.8773
x[307] = 13.8859
x[308] = 13.8921
x[309] = 13.8949
x[310] = 13.8932
x[311] = 13.8859
x[312] = 13.8722
x[313] = 13.8511
x[314] = 13.822
x[315] = 13.7843
x[316] = 13.7379
x[317] = 13.6824
x[318] = 13.618
x[319] = 13.5449
x[320] = 13.4633
x[321] = 13.3737
x[322] = 13.2766
x[323] = 13.1725
x[324] = 13.0621
x[325] = 12.9461
x[326] = 12.8251
x[327] = 12.6999
x[328] = 12.571
x[329] = 12.4392
x[330] = 12.3052
x[331] = 12.1694
x[332] = 12.0324
x[333] = 11.8948
x[334] = 11.7569
x[335] = 11.6192
x[336] = 11.482
x[337] = 11.3457
x[338] = 11.2104
x[339] = 11.0765
x[340] = 10.9439
x[341] = 10.813
x[342] = 10.6837
x[343] = 10.5562
x[344] = 10.4306
x[345] = 10.3068
x[346] = 10.1851
x[347] = 10.0654
x[348] = 9.94793
x[349] = 9.83271
x[350] = 9.71992
x[351] = 9.6097
x[352] = 9.50222
x[353] = 9.39764
x[354] = 9.29611
x[355] = 9.19776
x[356] = 9.10271
x[357] = 9.01102
x[358] = 8.92274
x[359] = 8.8379
x[360] = 8.75648
x[361] = 8.67844
x[362] = 8.60373
x[363] = 8.53228
x[364] = 8.46398
x[365] = 8.39874
x[366] = 8.33645
x[367] = 8.27699
x[368] = 8.22024
x[369] = 8.16607
x[370] = 8.11437
x[371] = 8.06502
x[372] = 8.01792
x[373] = 7.97294
x[374] = 7.93
x[375] = 7.889
x[376] = 7.84985
x[377] = 7.81249
x[378] = 7.77685
x[379] = 7.74286
x[380] = 7.71049
x[381] = 7.67969
x[382] = 7.65045
x[383] = 7.62272
x[384] = 7.59651
x[385] = 7.57181
x[386] = 7.54863
x[387] = 7.52695
x[388] = 7.50681
x[389] = 7.48822
x[390] = 7.47118
x[391] = 7.45572
x[392] = 7.44182
x[393] = 7.42946
x[394] = 7.4185
x[395] = 7.40863
x[396] = 7.39906
x[397] = 7.38802
x[398] = 7.3717
x[399] = 7.34321
x[400] = 13.8101
x[401] = 13.8637
x[402] = 13.8942
x[403] = 13.9141
x[404] = 13.9301
x[405] = 13.9447
x[406] = 13.9585
x[407] = 13.9709
x[408] = 13.9811
x[409] = 13.9879
x[410] = 13.99
x[411] = 13.9862
x[412] = 13.9754
x[413] = 13.9566
x[414] = 13.9292
x[415] = 13.8926
x[416] = 13.8465
x[417] = 13.7908
x[418] = 13.7255
x[419] = 13.651
x[420] = 13.5675
x[421] = 13.4756
x[422] = 13.3759
x[423] = 13.2689
x[424] = 13.1555
x[425] = 13.0363
x[426] = 12.9121
x[427] = 12.7837
x[428] = 12.6516
x[429] = 12.5168
x[430] = 12.3797
x[431] = 12.241
x[432] = 12.1014
x[433] = 11.9612
x[434] = 11.821
x[435] = 11.6812
x[436] = 11.5421
x[437] = 11.404
x[438] = 11.2671
x[439] = 11.1316
x[440] = 10.9978
x[441] = 10.8656
x[442] = 10.7352
x[443] = 10.6066
x[444] = 10.48
x[445] = 10.3552
x[446] = 10.2324
x[447] = 10.1117
x[448] = 9.99309
x[449] = 9.87674
x[450] = 9.76277
x[451] = 9.65138
x[452] = 9.54276
x[453] = 9.43709
x[454] = 9.33454
x[455] = 9.23528
x[456] = 9.13942
x[457] = 9.04705
x[458] = 8.95821
x[459] = 8.87293
x[460] = 8.79117
x[461] = 8.7129
x[462] = 8.63805
x[463] = 8.56653
x[464] = 8.49823
x[465] = 8.43304
x[466] = 8.37084
x[467] = 8.3115
x[468] = 8.25489
x[469] = 8.20088
x[470] = 8.14934
x[471] = 8.10015
x[472] = 8.05319
x[473] = 8.00835
x[474] = 7.96553
x[475] = 7.92463
x[476] = 7.88556
x[477] = 7.84825
x[478] = 7.81264
x[479] = 7.77865
x[480] = 7.74626
x[481] = 7.71541
x[482] = 7.68609
x[483] = 7.65827
x[484] = 7.63195
x[485] = 7.60712
x[486] = 7.58378
x[487] = 7.56195
x[488] = 7.54165
x[489] = 7.52288
x[490] = 7.50568
x[491] = 7.49005
x[492] = 7.476
x[493] = 7.46348
x[494] = 7.45239
x[495] = 7.4424
x[496] = 7.43272
x[497] = 7.42158
x[498] = 7.40515
x[499] = 7.37651
x[500] = 13.8893
x[501] = 13.9441
x[502] = 13.9765
x[503] = 13.9991
x[504] = 14.0186
x[505] = 14.0373
x[506] = 14.0558
x[507] = 14.0734
x[508] = 14.0889
x[509] = 14.1009
x[510] = 14.108
x[511] = 14.1087
x[512] = 14.1018
x[513] = 14.0861
x[514] = 14.0609
x[515] = 14.0256
x[516] = 13.9799
x[517] = 13.9237
x[518] = 13.8573
x[519] = 13.7809
x[520] = 13.695
x[521] = 13.6001
x[522] = 13.497
x[523] = 13.3864
x[524] = 13.2691
x[525] = 13.1459
x[526] = 13.0176
x[527] = 12.885
x[528] = 12.749
x[529] = 12.6102
x[530] = 12.4693
x[531] = 12.3271
x[532] = 12.1841
x[533] = 12.0408
x[534] = 11.8978
x[535] = 11.7553
x[536] = 11.6138
x[537] = 11.4735
x[538] = 11.3347
x[539] = 11.1975
x[540] = 11.062
x[541] = 10.9284
x[542] = 10.7966
x[543] = 10.6668
x[544] = 10.5389
x[545] = 10.413
x[546] = 10.2889
x[547] = 10.1669
x[548] = 10.047
x[549] = 9.92918
x[550] = 9.81375
x[551] = 9.70088
x[552] = 9.5908
x[553] = 9.48374
x[554] = 9.37992
x[555] = 9.27951
x[556] = 9.18266
x[557] = 9.08946
x[558] = 8.99995
x[559] = 8.91415
x[560] = 8.83202
x[561] = 8.7535
x[562] = 8.67851
x[563] = 8.60695
x[564] = 8.53869
x[565] = 8.4736
x[566] = 8.41155
x[567] = 8.35239
x[568] = 8.29599
x[569] = 8.2422
x[570] = 8.19089
x[571] = 8.14192
x[572] = 8.09518
x[573] = 8.05053
x[574] = 8.00788
x[575] = 7.96712
x[576] = 7.92816
x[577] = 7.89093
x[578] = 7.85536
x[579] = 7.82139
x[580] = 7.78897
x[581] = 7.75807
x[582] = 7.72866
x[583] = 7.70073
x[584] = 7.67426
x[585] = 7.64927
x[586] = 7.62575
x[587] = 7.60372
x[588] = 7.58321
x[589] = 7.56423
x[590] = 7.54681
x[591] = 7.53097
x[592] = 7.51672
x[593] = 7.50402
x[594] = 7.49275
x[595] = 7.4826
x[596] = 7.47279
x[597] = 7.46153
x[598] = 7.44496
x[599] = 7.41614
x[600] = 13.9811
x[601] = 14.0373
x[602] = 14.0721
x[603] = 14.0982
x[604] = 14.122
x[605] = 14.146
x[606] = 14.1705
x[607] = 14.1946
x[608] = 14.2169
x[609] = 14.2358
x[610] = 14.2493
x[611] = 14.2559
x[612] = 14.2538
x[613] = 14.242
x[614] = 14.2195
x[615] = 14.1858
x[616] = 14.1405
x[617] = 14.0838
x[618] = 14.0157
x[619] = 13.9369
x[620] = 13.8478
x[621] = 13.7492
x[622] = 13.6419
x[623] = 13.5267
x[624] = 13.4045
x[625] = 13.2763
x[626] = 13.1429
x[627] = 13.0053
x[628] = 12.8644
x[629] = 12.7208
x[630] = 12.5754
x[631] = 12.4288
x[632] = 12.2818
x[633] = 12.1347
x[634] = 11.9882
x[635] = 11.8426
x[636] = 11.6982
x[637] = 11.5554
x[638] = 11.4142
x[639] = 11.275
x[640] = 11.1377
x[641] = 11.0024
x[642] = 10.8691
x[643] = 10.7379
x[644] = 10.6086
x[645] = 10.4813
x[646] = 10.3558
x[647] = 10.2323
x[648] = 10.1107
x[649] = 9.99121
x[650] = 9.87397
x[651] = 9.75926
x[652] = 9.64736
x[653] = 9.53857
x[654] = 9.43317
x[655] = 9.33136
x[656] = 9.2333
x[657] = 9.13911
x[658] = 9.04882
x[659] = 8.96242
x[660] = 8.87988
x[661] = 8.8011
x[662] = 8.72599
x[663] = 8.65442
x[664] = 8.58624
x[665] = 8.52131
x[666] = 8.45948
x[667] = 8.40058
x[668] = 8.34446
x[669] = 8.29097
x[670] = 8.23995
x[671] = 8.19127
x[672] = 8.1448
x[673] = 8.1004
x[674] = 8.05796
x[675] = 8.01738
x[676] = 7.97857
x[677] = 7.94144
x[678] = 7.90593
x[679] = 7.87198
x[680] = 7.83953
x[681] = 7.80857
x[682] = 7.77905
x[683] = 7.75098
x[684] = 7.72434
x[685] = 7.69914
x[686] = 7.6754
x[687] = 7.65312
x[688] = 7.63235
x[689] = 7.61311
x[690] = 7.59543
x[691] = 7.57933
x[692] = 7.56482
x[693] = 7.55189
x[694] = 7.54041
x[695] = 7.53007
x[696] = 7.52009
x[697] = 7.50867
x[698] = 7.49195
x[699] = 7.46291
x[700] = 14.085
x[701] = 14.143
x[702] = 14.1807
x[703] = 14.211
x[704] = 14.2402
x[705] = 14.2707
x[706] = 14.3027
x[707] = 14.3351
x[708] = 14.3661
x[709] = 14.3936
x[710] = 14.4153
x[711] = 14.4292
x[712] = 14.4334
x[713] = 14.4263
x[714] = 14.4071
x[715] = 14.3751
x[716] = 14.3302
x[717] = 14.2725
x[718] = 14.2024
x[719] = 14.1204
x[720] = 14.0273
x[721] = 13.9241
x[722] = 13.8115
x[723] = 13.6907
x[724] = 13.5626
x[725] = 13.4284
x[726] = 13.2889
x[727] = 13.1452
x[728] = 12.9983
x[729] = 12.849
x[730] = 12.6982
x[731] = 12.5465
x[732] = 12.3947
x[733] = 12.2432
x[734] = 12.0927
x[735] = 11.9434
x[736] = 11.7957
x[737] = 11.6499
x[738] = 11.5061
x[739] = 11.3646
x[740] = 11.2252
x[741] = 11.0881
x[742] = 10.9531
x[743] = 10.8203
x[744] = 10.6896
x[745] = 10.5607
x[746] = 10.4337
x[747] = 10.3085
x[748] = 10.185
x[749] = 10.0634
x[750] = 9.94397
x[751] = 9.82698
x[752] = 9.71284
x[753] = 9.60193
x[754] = 9.49459
x[755] = 9.39109
x[756] = 9.29162
x[757] = 9.19627
x[758] = 9.10509
x[759] = 9.01804
x[760] = 8.93505
x[761] = 8.85603
x[762] = 8.78083
x[763] = 8.7093
x[764] = 8.64127
x[765] = 8.57658
x[766] = 8.51504
x[767] = 8.45648
x[768] = 8.40073
x[769] = 8.34761
x[770] = 8.29697
x[771] = 8.24865
x[772] = 8.20251
x[773] = 8.15842
x[774] = 8.11625
x[775] = 8.0759
x[776] = 8.03726
x[777] = 8.00026
x[778] = 7.96482
x[779] = 7.93089
x[780] = 7.89842
x[781] = 7.86737
x[782] = 7.83773
x[783] = 7.80948
x[784] = 7.78263
x[785] = 7.75718
x[786] = 7.73316
x[787] = 7.71059
x[788] = 7.6895
x[789] = 7.66993
x[790] = 7.65192
x[791] = 7.63551
x[792] = 7.6207
x[793] = 7.60747
x[794] = 7.59573
x[795] = 7.58516
x[796] = 7.57498
x[797] = 7.56337
x[798] = 7.54646
x[799] = 7.51718
x[800] = 14.2002
x[801] = 14.2602
x[802] = 14.3015
x[803] = 14.3367
x[804] = 14.3724
x[805] = 14.4109
x[806] = 14.4522
x[807] = 14.4948
x[808] = 14.5367
x[809] = 14.5752
x[810] = 14.6073
x[811] = 14.6304
x[812] = 14.6421
x[813] = 14.6408
x[814] = 14.6253
x[815] = 14.5953
x[816] = 14.5505
x[817] = 14.4914
x[818] = 14.4185
x[819] = 14.3326
x[820] = 14.2347
x[821] = 14.1256
x[822] = 14.0067
x[823] = 13.8791
x[824] = 13.7439
x[825] = 13.6024
x[826] = 13.4557
x[827] = 13.3049
x[828] = 13.151
x[829] = 12.995
x[830] = 12.8378
x[831] = 12.6802
x[832] = 12.5228
x[833] = 12.3662
x[834] = 12.211
x[835] = 12.0576
x[836] = 11.9062
x[837] = 11.7571
x[838] = 11.6104
x[839] = 11.4662
x[840] = 11.3246
x[841] = 11.1855
x[842] = 11.0488
x[843] = 10.9144
x[844] = 10.782
x[845] = 10.6516
x[846] = 10.5229
x[847] = 10.3958
x[848] = 10.2702
x[849] = 10.1462
x[850] = 10.0241
x[851] = 9.90427
x[852] = 9.78737
x[853] = 9.67387
x[854] = 9.5642
x[855] = 9.45871
x[856] = 9.35759
x[857] = 9.26093
x[858] = 9.16877
x[859] = 9.08103
x[860] = 8.99761
x[861] = 8.91837
x[862] = 8.84313
x[863] = 8.77172
x[864] = 8.70393
x[865] = 8.63957
x[866] = 8.57842
x[867] = 8.52031
x[868] = 8.46502
x[869] = 8.41237
x[870] = 8.36219
x[871] = 8.31432
x[872] = 8.26859
x[873] = 8.22487
x[874] = 8.18302
x[875] = 8.14294
x[876] = 8.10451
x[877] = 8.06766
x[878] = 8.03231
x[879] = 7.9984
x[880] = 7.96589
x[881] = 7.93474
x[882] = 7.90494
x[883] = 7.87649
x[884] = 7.84938
x[885] = 7.82363
x[886] = 7.79927
x[887] = 7.77634
x[888] = 7.75488
x[889] = 7.73492
x[890] = 7.71652
x[891] = 7.69972
x[892] = 7.68454
x[893] = 7.67097
x[894] = 7.65892
x[895] = 7.64807
x[896] = 7.63764
x[897] = 7.62581
x[898] = 7.60867
x[899] = 7.5791
x[900] = 14.3252
x[901] = 14.3876
x[902] = 14.4329
x[903] = 14.474
x[904] = 14.5174
x[905] = 14.5655
x[906] = 14.6181
x[907] = 14.6734
x[908] = 14.7289
x[909] = 14.7811
x[910] = 14.8263
x[911] = 14.8609
x[912] = 14.8818
x[913] = 14.8872
x[914] = 14.8761
x[915] = 14.8479
x[916] = 14.8031
x[917] = 14.742
x[918] = 14.6655
x[919] = 14.5746
x[920] = 14.4705
x[921] = 14.3545
x[922] = 14.228
x[923] = 14.0922
x[924] = 13.9487
x[925] = 13.7986
x[926] = 13.6434
x[927] = 13.4842
x[928] = 13.3222
x[929] = 13.1584
x[930] = 12.9939
x[931] = 12.8294
x[932] = 12.6657
x[933] = 12.5034
x[934] = 12.343
x[935] = 12.1848
x[936] = 12.0293
x[937] = 11.8765
x[938] = 11.7267
x[939] = 11.5797
x[940] = 11.4357
x[941] = 11.2946
x[942] = 11.1561
x[943] = 11.02
x[944] = 10.8861
x[945] = 10.7542
x[946] = 10.6238
x[947] = 10.4947
x[948] = 10.3666
x[949] = 10.2398
x[950] = 10.1144
x[951] = 9.99121
x[952] = 9.87091
x[953] = 9.75426
x[954] = 9.64183
x[955] = 9.53401
x[956] = 9.43102
x[957] = 9.33293
x[958] = 9.23972
x[959] = 9.15129
x[960] = 9.06747
x[961] = 8.98808
x[962] = 8.91291
x[963] = 8.84172
x[964] = 8.77428
x[965] = 8.71036
x[966] = 8.64974
x[967] = 8.59218
x[968] = 8.53747
x[969] = 8.4854
x[970] = 8.43579
x[971] = 8.38845
x[972] = 8.34322
x[973] = 8.29994
x[974] = 8.25848
x[975] = 8.21871
x[976] = 8.18054
x[977] = 8.14386
x[978] = 8.10861
x[979] = 8.07473
x[980] = 8.04217
x[981] = 8.0109
x[982] = 7.98091
x[983] = 7.9522
x[984] = 7.92478
x[985] = 7.89868
x[986] = 7.87392
x[987] = 7.85056
x[988] = 7.82864
x[989] = 7.80822
x[990] = 7.78935
x[991] = 7.77208
x[992] = 7.75646
x[993] = 7.74249
x[994] = 7.73006
x[995] = 7.71887
x[996] = 7.70815
x[997] = 7.69606
x[998] = 7.67866
x[999] = 7.64876
x[1000] = 14.4584
x[1001] = 14.5235
x[1002] = 14.5733
x[1003] = 14.6211
x[1004] = 14.6736
x[1005] = 14.733
x[1006] = 14.7991
x[1007] = 14.87
x[1008] = 14.9424
x[1009] = 15.012
x[1010] = 15.0736
x[1011] = 15.1223
x[1012] = 15.1543
x[1013] = 15.1675
x[1014] = 15.161
x[1015] = 15.1346
x[1016] = 15.089
x[1017] = 15.025
x[1018] = 14.9439
x[1019] = 14.8468
x[1020] = 14.7353
x[1021] = 14.611
x[1022] = 14.4753
x[1023] = 14.33
x[1024] = 14.1765
x[1025] = 14.0165
x[1026] = 13.8514
x[1027] = 13.6825
x[1028] = 13.5113
x[1029] = 13.3387
x[1030] = 13.1658
x[1031] = 12.9936
x[1032] = 12.8227
x[1033] = 12.654
x[1034] = 12.4877
x[1035] = 12.3244
x[1036] = 12.1644
x[1037] = 12.0077
x[1038] = 11.8544
x[1039] = 11.7046
x[1040] = 11.5581
x[1041] = 11.4148
x[1042] = 11.2746
x[1043] = 11.137
x[1044] = 11.0017
x[1045] = 10.8683
x[1046] = 10.7363
x[1047] = 10.6053
x[1048] = 10.4747
x[1049] = 10.3445
x[1050] = 10.2152
x[1051] = 10.0877
x[1052] = 9.96327
x[1053] = 9.84282
x[1054] = 9.72714
x[1055] = 9.61666
x[1056] = 9.5116
x[1057] = 9.41199
x[1058] = 9.31772
x[1059] = 9.22864
x[1060] = 9.14451
x[1061] = 9.06509
x[1062] = 8.9901
x[1063] = 8.91928
x[1064] = 8.85234
x[1065] = 8.78902
x[1066] = 8.72905
x[1067] = 8.67219
x[1068] = 8.6182
x[1069] = 8.56684
x[1070] = 8.51791
x[1071] = 8.47121
x[1072] = 8.42657
x[1073] = 8.38382
x[1074] = 8.34281
x[1075] = 8.30342
x[1076] = 8.26554
x[1077] = 8.22907
x[1078] = 8.19393
x[1079] = 8.16007
x[1080] = 8.12745
x[1081] = 8.09604
x[1082] = 8.06582
x[1083] = 8.03681
x[1084] = 8.00902
x[1085] = 7.98249
x[1086] = 7.95726
x[1087] = 7.93339
x[1088] = 7.91092
x[1089] = 7.88995
x[1090] = 7.87052
x[1091] = 7.85271
x[1092] = 7.83657
x[1093] = 7.8221
x[1094] = 7.80922
x[1095] = 7.79764
x[1096] = 7.78657
x[1097] = 7.77418
x[1098] = 7.75647
x[1099] = 7.72621
x[1100] = 14.5978
x[1101] = 14.6657
x[1102] = 14.7207
x[1103] = 14.7761
x[1104] = 14.8387
x[1105] = 14.9111
x[1106] = 14.9932
x[1107] = 15.0829
x[1108] = 15.1762
x[1109] = 15.2675
x[1110] = 15.3497
x[1111] = 15.4157
x[1112] = 15.4608
x[1113] = 15.4826
x[1114] = 15.4807
x[1115] = 15.4556
x[1116] = 15.4085
x[1117] = 15.3406
x[1118] = 15.2535
x[1119] = 15.1489
x[1120] = 15.0284
x[1121] = 14.8941
x[1122] = 14.7478
x[1123] = 14.5913
x[1124] = 14.4265
x[1125] = 14.255
x[1126] = 14.0785
x[1127] = 13.8987
x[1128] = 13.7169
x[1129] = 13.5343
x[1130] = 13.3521
x[1131] = 13.1712
x[1132] = 12.9925
x[1133] = 12.8166
x[1134] = 12.6441
x[1135] = 12.4752
x[1136] = 12.3103
x[1137] = 12.1494
x[1138] = 11.9925
x[1139] = 11.8397
x[1140] = 11.6908
x[1141] = 11.5455
x[1142] = 11.4035
x[1143] = 11.2646
x[1144] = 11.1281
x[1145] = 10.9936
x[1146] = 10.8604
x[1147] = 10.7276
x[1148] = 10.5944
x[1149] = 10.4604
x[1150] = 10.3263
x[1151] = 10.1936
x[1152] = 10.064
x[1153] = 9.93901
x[1154] = 9.81958
x[1155] = 9.70616
x[1156] = 9.5989
x[1157] = 9.49774
x[1158] = 9.40248
x[1159] = 9.31286
x[1160] = 9.22857
x[1161] = 9.14927
x[1162] = 9.07466
x[1163] = 9.00438
x[1164] = 8.93812
x[1165] = 8.87558
x[1166] = 8.81646
x[1167] = 8.76046
x[1168] = 8.70734
x[1169] = 8.65683
x[1170] = 8.60872
x[1171] = 8.56278
x[1172] = 8.51883
x[1173] = 8.4767
x[1174] = 8.43622
x[1175] = 8.39726
x[1176] = 8.35972
x[1177] = 8.32348
x[1178] = 8.28847
x[1179] = 8.25464
x[1180] = 8.22194
x[1181] = 8.19035
x[1182] = 8.15986
x[1183] = 8.13049
x[1184] = 8.10227
x[1185] = 8.07523
x[1186] = 8.04944
x[1187] = 8.02496
x[1188] = 8.00186
x[1189] = 7.98023
x[1190] = 7.96014
x[1191] = 7.94169
x[1192] = 7.92492
x[1193] = 7.90988
x[1194] = 7.89647
x[1195] = 7.88442
x[1196] = 7.87295
x[1197] = 7.86019
x[1198] = 7.84214
x[1199] = 7.81147
x[1200] = 14.7411
x[1201] = 14.8122
x[1202] = 14.8726
x[1203] = 14.9362
x[1204] = 15.01
x[1205] = 15.097
x[1206] = 15.1974
x[1207] = 15.3091
x[1208] = 15.4277
x[1209] = 15.546
x[1210] = 15.6537
x[1211] = 15.7405
x[1212] = 15.8004
x[1213] = 15.8312
x[1214] = 15.8335
x[1215] = 15.8088
x[1216] = 15.759
x[1217] = 15.6859
x[1218] = 15.5915
x[1219] = 15.4778
x[1220] = 15.3468
x[1221] = 15.2009
x[1222] = 15.0424
x[1223] = 14.8732
x[1224] = 14.6953
x[1225] = 14.5109
x[1226] = 14.3217
x[1227] = 14.1296
x[1228] = 13.9361
x[1229] = 13.7425
x[1230] = 13.55
x[1231] = 13.3597
x[1232] = 13.1724
x[1233] = 12.9888
x[1234] = 12.8095
x[1235] = 12.6347
x[1236] = 12.4647
x[1237] = 12.2994
x[1238] = 12.139
x[1239] = 11.9831
x[1240] = 11.8318
x[1241] = 11.6846
x[1242] = 11.5411
x[1243] = 11.4011
x[1244] = 11.2639
x[1245] = 11.1288
x[1246] = 10.9948
x[1247] = 10.8608
x[1248] = 10.7252
x[1249] = 10.5872
x[1250] = 10.4473
x[1251] = 10.308
x[1252] = 10.1722
x[1253] = 10.042
x[1254] = 9.91837
